106|2098|2011-01-01 00:00:00|9999-12-31 00:00:00|0.729|Y||2014-02-05 16:02:00|N
107|2099|2011-01-01 00:00:00|9999-12-31 00:00:00|0.444|Y||2014-02-05 16:02:00|N
108|2100|2011-01-01 00:00:00|9999-12-31 00:00:00|0.515|Y||2014-02-05 16:02:00|N
109|2102|2011-01-01 00:00:00|9999-12-31 00:00:00|0.42|N||2011-08-22 16:00:00|N
110|2103|2011-01-01 00:00:00|9999-12-31 00:00:00|0.05|N||2011-08-22 16:00:00|N
111|2104|2011-01-01 00:00:00|9999-12-31 00:00:00|0.24|N||2011-08-22 16:00:00|N
112|2106|2011-01-01 00:00:00|9999-12-31 00:00:00|0.3352|Y||2014-02-05 15:52:00|N
113|2107|2011-01-01 00:00:00|9999-12-31 00:00:00|3.9|Y||2012-03-29 16:04:00|N
114|2108|2011-01-01 00:00:00|9999-12-31 00:00:00|3.67|Y||2012-07-04 17:15:00|N
115|2109|2011-01-01 00:00:00|9999-12-31 00:00:00|2|Y||2012-07-04 17:15:00|N
116|2111|2011-01-01 00:00:00|9999-12-31 00:00:00|0.46|Y||2014-02-14 11:56:00|N
119|2115|2011-01-01 00:00:00|9999-12-31 00:00:00|0.4625|N||2011-08-22 16:18:00|N
120|2116|2011-01-01 00:00:00|9999-12-31 00:00:00|0.2362|N||2011-08-22 16:18:00|N
121|2118|2011-01-01 00:00:00|9999-12-31 00:00:00|0.5907|N||2011-08-22 16:19:00|N
122|2119|2011-01-01 00:00:00|9999-12-31 00:00:00|0.2846|N||2011-08-22 16:19:00|N
123|2121|2011-01-01 00:00:00|9999-12-31 00:00:00|0.19|N||2011-08-22 16:28:00|N
124|2122|2011-01-01 00:00:00|9999-12-31 00:00:00|3.65|Y||2012-08-15 14:11:00|N
125|2123|2011-01-01 00:00:00|9999-12-31 00:00:00|3|Y||2012-08-15 14:11:00|N
126|2125|2011-01-01 00:00:00|9999-12-31 00:00:00|0.5214|N||2011-08-22 16:30:00|N
127|2127|2011-01-01 00:00:00|9999-12-31 00:00:00|0.8358|N||2011-08-22 16:31:00|N
128|2129|2011-01-01 00:00:00|9999-12-31 00:00:00|0.36|N||2011-08-22 16:31:00|N
129|2130|2011-01-01 00:00:00|9999-12-31 00:00:00|0.19|N||2011-08-22 16:33:00|N
130|2131|2011-01-01 00:00:00|9999-12-31 00:00:00|1.85|N||2011-08-22 16:34:00|N
131|2132|2011-01-01 00:00:00|9999-12-31 00:00:00|0.7|N||2011-08-22 16:35:00|N
132|2046|2011-09-01 00:00:00|9999-12-31 00:00:00|0.12|Y||2012-07-03 10:16:00|N
133|2046|2011-06-01 00:00:00|2011-08-31 00:00:00|0.13|Y||2012-02-13 11:14:00|N
134|2046|2011-03-01 00:00:00|2011-05-31 00:00:00|0.12|Y||2012-02-13 11:15:00|N
135|2046|2010-12-01 00:00:00|2011-02-28 00:00:00|0.1|Y||2012-02-13 11:14:00|N
136|2044|2011-12-01 00:00:00|9999-12-31 00:00:00|0.1|Y||2012-07-03 10:16:00|N
137|2044|2011-06-01 00:00:00|2011-11-30 00:00:00|0.11|Y||2012-02-13 11:14:00|N
138|2044|2011-03-01 00:00:00|2011-05-31 00:00:00|0.1|Y||2012-02-13 11:15:00|N
139|2044|2010-12-01 00:00:00|2011-02-28 00:00:00|0.09|Y||2012-02-13 11:14:00|N
142|2032|2011-03-01 00:00:00|2011-05-31 00:00:00|0.15|Y||2012-02-13 11:15:00|N
143|2034|2011-03-01 00:00:00|2011-05-31 00:00:00|0.16|Y||2012-02-13 11:15:00|N
144|2036|2011-03-01 00:00:00|2011-05-31 00:00:00|0.23|Y||2012-02-13 11:15:00|N
145|2042|2011-03-01 00:00:00|2011-05-31 00:00:00|0.16|Y||2012-02-13 11:15:00|N
146|2044|2011-06-01 00:00:00|2011-11-30 00:00:00|0.11|Y||2012-02-13 11:15:00|N
147|2044|2011-03-01 00:00:00|2011-05-31 00:00:00|0.1|Y||2012-02-13 11:15:00|N
148|2046|2011-06-01 00:00:00|2011-08-31 00:00:00|0.13|Y||2012-02-13 11:15:00|N
149|2046|2011-03-01 00:00:00|2011-05-31 00:00:00|0.12|Y||2012-02-13 11:15:00|N
150|2048|2011-03-01 00:00:00|2011-05-31 00:00:00|0.17|Y||2012-02-13 11:15:00|N
151|2032|2011-03-01 00:00:00|2011-05-31 00:00:00|0.15|Y||2012-02-13 11:16:00|N
152|2034|2011-03-01 00:00:00|2011-05-31 00:00:00|0.16|Y||2012-02-13 11:16:00|N
153|2036|2011-03-01 00:00:00|2011-05-31 00:00:00|0.23|Y||2012-02-13 11:16:00|N
156|2042|2011-03-01 00:00:00|2011-05-31 00:00:00|0.16|Y||2012-02-13 11:16:00|N
157|2044|2011-06-01 00:00:00|2011-11-30 00:00:00|0.11|Y||2012-02-13 11:16:00|N
158|2044|2011-03-01 00:00:00|2011-05-31 00:00:00|0.1|Y||2012-02-13 11:16:00|N
159|2046|2011-06-01 00:00:00|2011-08-31 00:00:00|0.13|Y||2012-02-13 11:16:00|N
160|2046|2011-03-01 00:00:00|2011-05-31 00:00:00|0.12|Y||2012-02-13 11:16:00|N
161|2048|2011-03-01 00:00:00|2011-05-31 00:00:00|0.17|Y||2012-02-13 11:16:00|N
162|2044|2011-06-01 00:00:00|2011-11-30 00:00:00|0.11|Y||2012-07-03 10:16:00|N
163|2046|2011-06-01 00:00:00|2011-08-31 00:00:00|0.13|Y||2012-07-03 10:16:00|N
164|2054|2012-03-01 00:00:00|9999-12-31 00:00:00|0.13|Y||2012-06-06 11:37:00|N
165|2054|2011-06-01 00:00:00|2012-02-29 00:00:00|0.12|Y||2012-06-06 11:37:00|N
166|2055|2012-03-01 00:00:00|9999-12-31 00:00:00|0|Y||2012-06-06 11:37:00|N
167|2055|2011-06-01 00:00:00|2012-02-29 00:00:00|0|Y||2012-06-06 11:37:00|N
168|2042|2012-03-01 00:00:00|9999-12-31 00:00:00|0.19|Y||2012-06-06 11:37:00|N
169|2042|2011-06-01 00:00:00|2012-02-29 00:00:00|0.18|Y||2012-06-06 11:37:00|N
170|2043|2012-03-01 00:00:00|9999-12-31 00:00:00|0|Y||2012-06-06 11:37:00|N
171|2043|2011-06-01 00:00:00|2012-02-29 00:00:00|0|Y||2012-06-06 11:37:00|N
172|2107|2011-01-01 00:00:00|9999-12-31 00:00:00|3.7|Y||2016-01-05 12:52:00|N
173|2133|2011-04-06 00:00:00|9999-12-31 00:00:00|0.45|Y||2013-02-15 15:20:00|N
174|2134|2011-04-06 00:00:00|9999-12-31 00:00:00|0.25|Y||2013-02-15 15:20:00|N
175|2135|2011-04-06 00:00:00|9999-12-31 00:00:00|0.05|Y||2013-02-15 15:20:00|N
176|2136|2011-04-06 00:00:00|9999-12-31 00:00:00|0.45|Y||2013-02-15 15:20:00|N
177|2137|2011-04-06 00:00:00|9999-12-31 00:00:00|0.25|Y||2013-02-15 15:20:00|N
178|2138|2011-04-06 00:00:00|9999-12-31 00:00:00|0.05|Y||2013-02-15 15:20:00|N
179|2139|2011-04-06 00:00:00|9999-12-31 00:00:00|0.45|Y||2013-02-15 15:20:00|N
180|2140|2011-04-06 00:00:00|9999-12-31 00:00:00|0.25|Y||2013-02-15 15:20:00|N
181|2141|2011-04-06 00:00:00|9999-12-31 00:00:00|0.05|Y||2013-02-15 15:20:00|N
182|2142|2011-04-06 00:00:00|9999-12-31 00:00:00|0.45|Y||2013-02-15 15:20:00|N
183|2143|2011-04-06 00:00:00|9999-12-31 00:00:00|0.25|Y||2013-02-15 15:20:00|N
184|2144|2011-04-06 00:00:00|9999-12-31 00:00:00|0.05|Y||2013-02-15 15:20:00|N
185|2145|2011-04-06 00:00:00|9999-12-31 00:00:00|0.45|Y||2013-02-15 15:20:00|N
186|2146|2011-04-06 00:00:00|9999-12-31 00:00:00|0.25|Y||2013-02-15 15:20:00|N
187|2147|2011-04-06 00:00:00|9999-12-31 00:00:00|0.05|Y||2013-02-15 15:20:00|N
188|2148|2011-04-06 00:00:00|9999-12-31 00:00:00|0.45|Y||2013-02-15 15:20:00|N
189|2149|2011-04-06 00:00:00|9999-12-31 00:00:00|0.25|Y||2013-02-15 15:20:00|N
190|2150|2011-04-06 00:00:00|9999-12-31 00:00:00|0.05|Y||2013-02-15 15:20:00|N
191|2054|2012-06-01 00:00:00|9999-12-31 00:00:00|0.12|Y||2013-03-06 17:32:00|N
192|2054|2012-03-01 00:00:00|2012-05-31 00:00:00|0.13|Y||2013-03-06 17:32:00|N
193|2054|2011-06-01 00:00:00|2012-02-29 00:00:00|0.12|Y||2013-03-06 17:32:00|N
194|2055|2012-06-01 00:00:00|9999-12-31 00:00:00|0|Y||2013-03-06 17:32:00|N
195|2055|2012-03-01 00:00:00|2012-05-31 00:00:00|0|Y||2013-03-06 17:32:00|N
196|2055|2011-06-01 00:00:00|2012-02-29 00:00:00|0|Y||2013-03-06 17:32:00|N
197|2042|2012-06-01 00:00:00|9999-12-31 00:00:00|0.18|Y||2013-12-10 11:48:00|N
198|2042|2012-03-01 00:00:00|2012-05-31 00:00:00|0.19|Y||2013-12-10 11:48:00|N
199|2042|2011-06-01 00:00:00|2012-02-29 00:00:00|0.18|Y||2013-12-10 11:48:00|N
200|2043|2012-06-01 00:00:00|9999-12-31 00:00:00|0|Y||2013-12-10 11:48:00|N
201|2043|2012-03-01 00:00:00|2012-05-31 00:00:00|0|Y||2013-12-10 11:48:00|N
202|2043|2011-06-01 00:00:00|2012-02-29 00:00:00|0|Y||2013-12-10 11:48:00|N
203|2108|2012-01-01 00:00:00|9999-12-31 00:00:00|3.8|Y||2014-02-05 15:54:00|N
204|2108|2011-01-01 00:00:00|2011-12-31 00:00:00|3.67|Y||2014-02-05 15:54:00|N
205|2109|2012-01-01 00:00:00|9999-12-31 00:00:00|2.1|Y||2014-02-05 15:54:00|N
206|2109|2011-01-01 00:00:00|2011-12-31 00:00:00|2|Y||2014-02-05 15:54:00|N
207|2110|2012-01-01 00:00:00|9999-12-31 00:00:00|0|Y||2014-02-05 15:54:00|N
208|2122|2012-01-01 00:00:00|9999-12-31 00:00:00|3.9|N||2012-08-15 14:11:00|N
209|2122|2011-01-01 00:00:00|2011-12-31 00:00:00|3.65|N||2012-08-15 14:11:00|N
210|2123|2012-01-01 00:00:00|9999-12-31 00:00:00|3.25|N||2012-08-15 14:11:00|N
211|2123|2011-01-01 00:00:00|2011-12-31 00:00:00|3|N||2012-08-15 14:11:00|N
212|2124|2012-01-01 00:00:00|9999-12-31 00:00:00|0|N||2012-08-15 14:11:00|N
213|2151|2011-04-06 00:00:00|9999-12-31 00:00:00|0.45|N||2013-02-15 15:20:00|N
214|2152|2011-04-06 00:00:00|9999-12-31 00:00:00|0.25|N||2013-02-15 15:20:00|N
215|2153|2011-04-06 00:00:00|9999-12-31 00:00:00|0.05|N||2013-02-15 15:20:00|N
216|2154|2011-04-06 00:00:00|9999-12-31 00:00:00|0.45|N||2013-02-15 15:22:00|N
217|2155|2011-04-06 00:00:00|9999-12-31 00:00:00|0.25|N||2013-02-15 15:22:00|N
218|2156|2011-04-06 00:00:00|9999-12-31 00:00:00|0.05|N||2013-02-15 15:22:00|N
219|2054|2013-03-01 00:00:00|9999-12-31 00:00:00|0.13|Y||2013-05-29 09:14:00|N
220|2054|2012-06-01 00:00:00|2013-02-28 00:00:00|0.12|Y||2013-05-29 09:14:00|N
221|2054|2012-03-01 00:00:00|2012-05-31 00:00:00|0.13|Y||2013-05-29 09:14:00|N
222|2054|2011-06-01 00:00:00|2012-02-29 00:00:00|0.12|Y||2013-05-29 09:14:00|N
