5256|N|Y|CT_COUNTRY_GROUPING_LANG|CG_KEY|Y|INTEGER||Y||||2010-09-18 04:39:00|
5257|N|Y|CT_COUNTRY_GROUPING_LANG|LANG_CODE|Y|VARCHAR|5|Y||N||2010-09-18 04:39:00|
5258|N|Y|CT_COUNTRY_GROUPING_LANG|IS_LOCALIZED|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5259|N|Y|CT_COUNTRY_GROUPING_LANG|NAME|N|VARCHAR|64|Y|CI|Y||2010-09-18 04:39:00|
5260|N|Y|CT_LOCATION_TYPE|LOC_TYPE_CODE|N|VARCHAR|20|Y||N||2010-09-18 04:39:00|
5261|N|Y|CT_LOCATION_TYPE|CAN_BE_PARENT|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5262|N|Y|CT_LOCATION_TYPE|VISIBLE_IN_EXPENSE_REPORT|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5263|N|Y|CT_LOCATION_TYPE|SYSTEM_RECORD|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5264|N|Y|CT_LOCATION_TYPE_LANG|LOC_TYPE_CODE|Y|VARCHAR|20|Y||N||2010-09-18 04:39:00|
5265|N|Y|CT_LOCATION_TYPE_LANG|LANG_CODE|Y|VARCHAR|5|Y||N||2010-09-18 04:39:00|
5266|N|Y|CT_LOCATION_TYPE_LANG|IS_LOCALIZED|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5267|N|Y|CT_LOCATION_TYPE_LANG|NAME|N|VARCHAR|64|Y|CI|Y||2010-09-18 04:39:00|
5268|N|Y|CT_PAYMENT_METHOD|PMT_METHOD_CODE|N|CHAR|7|Y||N||2010-09-18 04:39:00|
5269|N|Y|CT_PAYMENT_METHOD_LANG|PMT_METHOD_CODE|Y|CHAR|7|Y||N||2010-09-18 04:39:00|
5270|N|Y|CT_PAYMENT_METHOD_LANG|LANG_CODE|Y|VARCHAR|5|Y||N||2010-09-18 04:39:00|
5271|N|Y|CT_PAYMENT_METHOD_LANG|IS_LOCALIZED|N|BOOLEANCHAR|1|Y||N||2010-09-18 04:39:00|
5272|N|Y|CT_PAYMENT_METHOD_LANG|NAME|N|VARCHAR|64|Y||Y||2011-04-16 04:10:00|
5273|N|Y|CTP_EFT_BATCH|BATCH_ID|N|CHAR|20|Y||N||2010-09-18 04:39:00|
5274|N|Y|CTP_EFT_BATCH|SEND_JR_KEY|Y|INTEGER||N||||2010-09-18 04:39:00|
5275|N|Y|CTP_EFT_BATCH|SENT_DATE|N|TIMESTAMP||N||||2014-04-12 04:21:00|
5276|N|Y|CTP_EFT_FUNDING_ACCT|TYPE|N|CHAR|3|Y||N||2010-09-18 04:39:00|
