41855|27510|01070||60|5950|0.9213159394|M|5481.83|-2693.89|5481.83||||||||||||||||||||||||||||||||||||||||||||||||2023-08-20 00:00:00|N|||2023-12-04 06:39:00||I|0||||||||N||N||
41856|27510|01073||34|2000|1|M|2000|1457.3|2000||||||||||||||||||||||||||||||||||||||||||||||||2023-08-20 00:00:00|N|||2023-12-04 06:39:00||I|0||||||||N||N||
41857|27510|MISCL|1069|34|15|1|M|15|-15|15|HK visa|||||||||||||||||||||||||||||||||||||||||||||||2023-08-20 00:00:00|N|||2023-12-04 06:39:00||I|0||||||||N||N||
41858|27511|01065||34|3150|1|M|3150|3150|3150||||||||||||||||||||||||||||||||||||||||||||||||2023-09-21 00:00:00|N|||2023-12-19 03:43:00||N|0||||||||N||N||
41859|27511|01062||34|3036|1|M|3036|3036|3036||||||||||||||||||||||||||||||||||||||||||||||||2023-10-09 00:00:00|N|||2023-12-19 03:43:00||I|0||||||||N||N||
41860|27511|01073||34|600|1|M|600|190.11|600||||||||||||||||||||||||||||||||||||||||||||||||2023-09-21 00:00:00|N|||2023-12-19 03:43:00||I|0||||||||N||N||
42012|27560|LODTX||34|3000|1|M|3000|3000|3000||||||||||||||||||||||||||||||||||||||||||||||||2023-08-29 00:00:00|N|||2023-09-11 11:05:00||I|0||||||||N||N||
42013|27560|AIRFR||34|12000|1|M|12000|12000|12000||||||||||||||||||||||||||||||||||||||||||||||||2023-08-29 00:00:00|N|||2023-09-11 11:05:00||N|0||||||||N||N||
42014|27560|01028||34|1200|1|M|1200|257|1200||||||||||||||||||||||||||||||||||||||||||||||||2023-08-29 00:00:00|N|||2023-09-11 11:05:00||I|0||||||||N||N||
42015|27560|01073||34|800|1|M|800|34.1|800||||||||||||||||||||||||||||||||||||||||||||||||2023-08-29 00:00:00|N|||2023-09-11 11:05:00||I|0||||||||N||N||
42016|27561|01064||2|3000|7.9251120429|M|23775.34|23490.08|23775.34||||||||||||||||||||||||||||||||||||||||||||||||2023-08-30 00:00:00|N|||2023-09-15 05:15:00||I|0||||||||N||N||
42017|27561|01066||34|56800|1|M|56800|56800|56800||||||||||||||||||||||||||||||||||||||||||||||||2023-08-30 00:00:00|N|||2023-09-15 05:15:00||N|0||||||||N||N||
42018|27561|01071||2|700|7.9251120429|M|5547.58|190.78|5547.58||||||||||||||||||||||||||||||||||||||||||||||||2023-08-30 00:00:00|N|||2023-09-15 05:15:00||I|0||||||||N||N||
42019|27561|01073||2|350|7.9251120429|M|2773.79|156.58|2773.79||||||||||||||||||||||||||||||||||||||||||||||||2023-08-30 00:00:00|N|||2023-09-15 05:15:00||I|0||||||||N||N||
42020|27562|LODTX||34|1100|1|M|1100|1100|1100||||||||||||||||||||||||||||||||||||||||||||||||2023-09-07 00:00:00|N|||2023-12-19 03:41:00||I|0||||||||N||N||
42021|27562|01073||34|315|1|M|315|-21|315||||||||||||||||||||||||||||||||||||||||||||||||2023-09-07 00:00:00|N|||2023-12-19 03:41:00||I|0||||||||N||N||
42022|27562|01028||34|800|1|M|800|800|800||||||||||||||||||||||||||||||||||||||||||||||||2023-09-07 00:00:00|N|||2023-12-19 03:41:00||I|0||||||||N||N||
42023|27562|01073||34|400|1|M|400|400|400||||||||||||||||||||||||||||||||||||||||||||||||2023-09-07 00:00:00|N|||2023-12-19 03:41:00||I|0||||||||N||N||
42027|27563|01028||34|250|1|M|250|0|250||||||||||||||||||||||||||||||||||||||||||||||||2023-08-31 00:00:00|N|||2023-10-11 04:24:00||I|0||||||||N||N||
42028|27563|01073||34|500|1|M|500|173|500||||||||||||||||||||||||||||||||||||||||||||||||2023-08-31 00:00:00|N|||2023-10-11 04:24:00||I|0||||||||N||N||
42029|27564|01073||34|500|1|M|500|282|500||||||||||||||||||||||||||||||||||||||||||||||||2023-08-31 00:00:00|N|||2023-10-11 04:23:00||I|0||||||||N||N||
42030|27564|01028||34|250|1|M|250|250|250||||||||||||||||||||||||||||||||||||||||||||||||2023-08-31 00:00:00|N|||2023-10-11 04:23:00||I|0||||||||N||N||
41617|27448|01075||60|3000|0.9142712396|M|2742.81|2742.81|2742.81||||||||||||||||||||||||||||||||||||||||||||||||2023-08-01 00:00:00|N|||2023-09-04 07:59:00||I|0||||||||N||N||
41618|27448|01073||60|1000|0.9142712396|M|914.27|914.27|914.27||||||||||||||||||||||||||||||||||||||||||||||||2023-08-01 00:00:00|N|||2023-09-04 07:59:00||I|0||||||||N||N||
41619|27448|01075||34|2000|1|M|2000|123.46|2000||||||||||||||||||||||||||||||||||||||||||||||||2023-08-01 00:00:00|N|||2023-09-04 07:59:00||I|0||||||||N||N||
41620|27449|01073||34|1200|1|M|1200|607.94|1200||||||||||||||||||||||||||||||||||||||||||||||||2023-07-18 00:00:00|N|||2023-08-11 07:47:00||I|0||||||||N||N||
