2124|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2125|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2126|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2127|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2128|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2129|Y|N||EXTRACT||X|X|X|N|||||N|||2017-09-30 07:42:00|N|Y
2130|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2131|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2132|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2133|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2134|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2135|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2136|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2137|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2138|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2139|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2140|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2141|Y|N||EXTRACT||X|X|X|N|X||||N|||2017-09-30 07:42:00|N|Y
2142|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2143|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2144|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2145|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2146|N|N||EXTRACT_OUTPUT|||<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2147|N|N||EXTRACT_OUTPUT||X|<COMMON_BATCH_ROOT>\vendors\taxback\extract|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2148|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2149|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2150|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2151|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2152|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2153|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2154|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2155|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2156|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2157|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
2158|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2159|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2160|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2161|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2162|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2163|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2164|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2165|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2166|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|X||||N|||2017-09-30 07:42:00|N|Y
2167|N|N||EXTRACT_OUTPUT||X|<DEFAULT_JOB_DATA>|<DEFAULT_JOB_ARCHIVE>|N|||||N|||2017-09-30 07:42:00|N|Y
