PUR_PROXY_LOGON|PMT|PMT|N|Y|Y||2013-07-20 02:10:00|N|N|Y|N
RCPT_PROCESSOR|EXP|EXP|N|Y|N||2010-04-16 20:15:00|N|Y|N|N
RECEIPT_USER|PMT|PMT|N|Y|N||2017-09-22 22:09:00|N|N|Y|N
REQ_ADMIN|REQ|REQ|N|N|Y||2011-07-23 01:37:00|N|Y|N|N
REQ_ADMIN_RO|REQ|REQ|N|Y|Y||2011-07-23 01:37:00|N|Y|N|N
REQ_EVENT|REQ|REQ|N|Y|N||2013-05-18 01:39:00|N|Y|N|N
REQ_MANAGER|REQ|REQ|N|Y|N||2011-07-23 01:37:00|N|Y|N|N
REQ_PROCESSOR1|REQ|REQ|Y|Y|Y||2011-11-19 02:33:00|N|Y|N|N
REQ_PROCESSOR2|REQ|REQ|Y|Y|Y||2011-11-19 02:33:00|N|Y|N|N
REQ_PROCESSOR3|REQ|REQ|Y|Y|Y||2011-11-19 02:33:00|N|Y|N|N
REQ_PROXY_LOGON|REQ|REQ|N|Y|Y||2011-07-23 01:37:00|N|Y|N|N
REQ_TRAVELER|REQ|REQ|N|Y|N||2011-07-23 01:37:00|N|Y|N|N
RISK_PROCESSOR|REQ|REQ|Y|Y|Y||2013-03-23 02:05:00|N|Y|N|N
ROLE_ADMIN|SHD|EMP|N|Y|Y||2010-04-16 20:15:00|N|Y|N|N
ROLE_BUILDER|SHD|EMP|N|N|N||2010-04-16 20:15:00|N|Y|N|N
RPTNET_BUDGET|SHD|BGT|N|Y|Y||2013-08-24 02:15:00|N|Y|N|N
RPTNET_BUS_AUTH|SHD|BIN|N|Y|Y||2010-04-16 20:15:00|N|Y|N|N
RPTNET_BUS_SEC|SHD|BIS|N|N|Y||2015-02-07 02:41:00|N|Y|N|N
RPTNET_CONSUMER|SHD|BIN|N|Y|Y||2010-04-16 20:15:00|N|Y|N|N
RPTNET_CON_SEC|SHD|BIS|N|N|Y||2015-02-07 02:41:00|N|Y|N|N
RPTNET_PRO_AUTH|SHD|BIN|N|Y|Y||2010-04-16 20:15:00|N|Y|N|N
RPTNET_PRO_SEC|SHD|BIS|N|N|Y||2015-02-07 02:41:00|N|Y|N|N
SHARED_ADMIN|SHD|EMP|N|N|Y||2017-03-23 22:05:00|N|Y|N|N
SHARED_ADMIN_RO|SHD|EMP|N|Y|Y||2010-04-16 20:15:00|N|Y|N|N
SPONSOR|SHD|EMP|N|Y|Y||2015-02-07 02:41:00|N|Y|N|N
STMT_ACCT_AUDT|EXP|EXP|Y|Y|Y||2012-03-24 01:57:00|N|Y|N|N
STMT_ACCT_CLERK|EXP|EXP|Y|Y|Y||2012-03-24 01:57:00|N|Y|N|N
STMT_ACCT_MGR|EXP|EXP|Y|Y|Y||2012-03-24 01:57:00|N|Y|N|N
STMT_MANAGER|EXP|EXP|N|Y|N||2012-03-24 01:57:00|N|Y|N|N
STMT_USER|EXP|EXP|N|Y|N||2012-03-24 01:57:00|N|Y|N|N
SYSTEM|SHD|EMP|Y|N|N||2009-05-15 20:10:00|N|N|N|N
TAS_ADMIN|SHD|EMP|N|N|N||2022-12-07 20:25:00|N|N|N|N
TAX_ADMIN|SHD|EMP|N|Y|N||2014-04-11 15:44:00|N|Y|N|N
TAX_ADMIN_RO|SHD|EMP|N|Y|N||2010-04-16 20:15:00|N|Y|N|N
TRAVELER|EXP|EXP|N|Y|N||2009-05-15 20:10:00|N|Y|N|N
TRAVEL_ADMIN|EXP|EXP|Y|N|Y||2013-03-23 02:06:00|N|Y|N|N
TRAVEL_MANAGER|EXP|EXP|N|N|N||2013-03-23 02:06:00|N|Y|N|N
TRN_ADMIN|SHD|EMP|N|Y|N||2012-05-19 01:32:00|N|Y|N|N
UI_PREVIEW|SHD|EMP|N|N|N||2015-04-11 03:33:00|N|Y|N|N
VERIFY_ADMIN|EXP|EXP|N|Y|N||2021-04-13 22:38:00|N|Y|N|N
VERIFY_EV_AUDIT|EXP|EXP|N|N|N||2023-11-09 20:12:00|N|Y|N|N
VERIFY_RP_AUDIT|EXP|EXP|N|Y|N||2021-04-13 22:38:00|N|Y|N|N
WEBSVC_ADMIN|SHD|EMP|N|Y|N||2010-09-18 04:39:00|N|Y|N|N
XPRESS_UI_PREV|EXP|EXP|N|Y|N||2018-03-18 00:11:00|N|Y|N|N
XQUEST_UI_PREV|REQ|REQ|N|Y|N||2019-04-09 22:22:00|N|Y|N|N
