01089|N|N|OTHER|ALWAYS|LODGE|||2017-08-11 15:23:00|N|Y|LODGN||NREQ|N||
01090|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:29:00|N|Y|OTHER||NALW|N||
01091|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:28:00|N|Y|OTHER||NALW|N||
01092|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:28:00|N|Y|OTHER||NALW|N||
01093|N|N|OTHER|ALWAYS|01021|||2017-09-25 13:28:00|N|Y|OTHER||NALW|N||
01094|N|N|OTHER|ALWAYS|CSHAD|||2017-09-25 07:05:00|N|Y|OTHER||NALW|N||
01095|N|N|OTHER|ALWAYS|OTHER|||2018-01-17 01:07:00|N|Y|OTHER||NREQ|N||
01096|N|N|OTHER|ALWAYS|OTHER|||2021-10-18 02:11:00|N|Y|OTHER||NREQ|N||
01097|N|N|OTHER|ALWAYS|OTHER|||2022-03-11 02:24:00|N|Y|OTHER||NREQ|N||
01098|N|N|OTHER|ALWAYS|OTHER|||2021-10-18 02:08:00|N|Y|OTHER||NREQ|N||
01099|N|N|OTHER|ALWAYS|OTHER|||2021-10-18 02:07:00|N|Y|OTHER||NREQ|N||
01100|N|N|OTHER|ALWAYS|01015|||2021-08-23 08:26:00|N|Y|OTHER||NREQ|N||
01101|N|N|OTHER|ALWAYS|ENTRT|||2021-03-30 04:30:00|N|Y|ENTER||NALW|N||
01102|N|N|OTHER|ALWAYS|OTHER|||2021-03-05 00:30:00|N|Y|OTHER||NALW|N||
01103|N|N|OTHER|ALWAYS|01021|||2021-06-11 05:43:00|N|Y|OFFIC||NALW|N||
01104|N|N|OTHER|ALWAYS|MEALS|||2021-08-23 08:16:00|N|Y|MEALN||NALW|N||
01105|N|N|OTHER|ALWAYS|01015|||2021-08-23 08:32:00|N|Y|OTHER||NREQ|N||
01106|N|N|OTHER|ALWAYS|OTHER|||2022-04-22 07:59:00|N|Y|OTHER||NREQ|N||
01107|N|N|OTHER|ALWAYS|OTHER|||2022-07-18 04:36:00|N|Y|OTHER||NREQ|N||
AIRFR|N|N|OTHER|ALWAYS|TRANS|AIRFR||2017-09-29 02:38:00|N|Y|AIRFR||NALW|N||AIRTCKT
AIRTX|Y|N|OTHER|ALWAYS||AIRFR||2010-10-29 17:21:00|N|Y|AIRFR||NREQ|N||
AWRDS|N|N|OTHER|ALWAYS|OTHER|OTHER||2015-04-26 22:31:00|N|Y|GOODW||NREQ|N||
BANKF|N|N|OTHER|ALWAYS|01021|INCTS||2010-10-29 16:41:00|N|Y|FEESD||NREQ|N||
BRKFT|N|N|MEALS|ALWAYS|MEALS|MEALS||2015-08-14 13:04:00|N|Y|MEALA|2|NREQ|N||BRKFAST
BUSML|N|N|OTHER|ALWAYS|ENTRT|MEALS||2017-08-03 09:38:00|N|Y|ENTER||NREQ|N||
BUSPR|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:10:00|N|Y|ADVTG||NREQ|N||
BUSXX|Y|N|OTHER|ALWAYS||INCTS||2015-04-27 14:09:00|N|Y|GRTRN||NREQ|N||
CAREX|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:10:00|N|Y|COCAR||NREQ|N||
CARMA|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:10:00|N|Y|COCAR||NREQ|N||
CARMI|N|N|COCARMILE|ALWAYS|TRANS|OTHER||2010-10-29 16:48:00|N|Y|COCRM||NALW|N||
CAROL|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:11:00|N|Y|COCAR||NREQ|N||
CARRT|N|N|OTHER|ALWAYS|TRANS|CARRT||2013-06-15 03:07:00|N|Y|CARRT||NREQ|N||CARRNTL
CARWA|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:11:00|N|Y|COCAR||NREQ|N||
CELPH|N|N|OTHER|ALWAYS|COMMU|OTHER||2017-09-25 13:26:00|N|Y|TELEC||NALW|N||
COMMU|N|N|OTHER|ALWAYS||OTHER||2017-09-25 13:30:00|N|Y|OTHER||NALW|N||
CSHAD|N|N|OTHERNP|NORMAL||||2017-09-25 13:31:00|N|Y|CASHA||NALW|N||
CSHRN|N|N|OTHER|NORMAL|CSHAD|||2017-09-15 05:57:00|N|Y|CASHN||NALW|N||
CURGL|N|N|OTHERNP|NORMAL|CSHAD|||2017-08-14 12:53:00|N|Y|CASHA||NALW|N||
DINNR|N|N|MEALS|ALWAYS|MEALS|MEALS||2015-08-14 13:04:00|N|Y|MEALA|2|NREQ|N||
DUESX|N|N|OTHER|ALWAYS|OTHER|OTHER||2013-05-08 14:48:00|N|Y|FEESD||NREQ|N||
DUPLC|Y|N|OTHER|ALWAYS||OTHER||2015-04-27 14:11:00|N|Y|OFFIC||NREQ|N||
ENTOT|Y|N|OTHER|ALWAYS||OTHER||2010-10-29 17:22:00|N|Y|ENTER||NREQ|N||
ENTRT|N|N|OTHER|ALWAYS||OTHER||2017-09-25 13:30:00|N|Y|OTHER||NALW|N||
FXINC|N|Y|INCTS|NEVER|OTHER|INCTS||2021-08-24 22:19:00|N|Y|INCTA||NALW|N||
