2051|2019|2147483647|N|Y|N|P_PROC|SYSTEM||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2016-04-12 13:45:00||Y||
2052|2020|-1|N|Y|N|A_NOTF|SYSTEM||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2053|2020|1|N|N|Y|A_PEND|MANAGER||APPROVER|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2054|2020|6|N|N|Y|A_ACCO|ACCT_CLERK||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2055|2020|2147483645|N|Y|Y|A_PVAL|SYSTEM||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2056|2020|2147483646|N|Y|Y|P_PROC|SYSTEM||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2057|2020|-2|N|Y|Y|A_PEND|MANAGER||BOTH|BOTH|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2058|2020|-3|N|Y|N|A_ACCO|ACCT_CLERK||NONE|NONE|||com.concur.services.workflow.handlers.ReportHandler||2011-02-28 11:38:00||Y||
2059|2020|2|N|N|Y|A_PEND|MANAGER||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2060|2020|3|N|N|Y|A_PEND|MANAGER||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2061|2020|4|N|N|Y|A_PEND|MANAGER||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2062|2020|5|N|N|Y|A_PEND|MANAGER||NONE|NONE|N|N|com.concur.services.workflow.handlers.ReportHandler||2017-07-28 09:24:00||Y||
2072|2030|-2|N|Y|N|R_PEND|PAYMENT_APRVR||BOTH|BOTH|N|N|com.concur.payment.services.workflow.handlers.PaymentRequestHandler||2016-04-08 22:51:00||Y||
2073|2030|-1|N|Y|N|R_NOTF|SYSTEM||NONE|NONE|N|N|com.concur.payment.services.workflow.handlers.PaymentRequestHandler||2016-04-08 22:51:00||Y||
2074|2030|0|N|N|Y|R_ACCO|PMT_ACCT_CLERK||NONE|NONE|N|N|com.concur.payment.services.workflow.handlers.PaymentRequestHandler||2016-04-08 22:51:00||Y||
2075|2030|2|N|N|Y|R_VAPP|PMT_VENAPPROVER||NONE|NONE|N|N|com.concur.payment.services.workflow.handlers.PaymentRequestHandler||2016-04-08 22:51:00||Y||
2076|2030|2147483645|N|Y|Y|R_PVAL|SYSTEM||NONE|NONE|N|N|com.concur.payment.services.workflow.handlers.PaymentRequestHandler||2016-04-08 22:51:00||Y||
