568|388||2018-02-02 10:37:00
1582|339||2018-02-06 03:18:00
1584|340||2018-02-06 04:10:00
1586|394||2018-02-06 04:20:00
1587|499||2018-02-06 04:22:00
1589|457||2018-02-06 04:42:00
1590|456||2018-02-06 05:53:00
1591|458||2018-02-06 06:01:00
1597|491||2018-02-06 08:14:00
1599|497||2018-02-07 02:53:00
1600|509||2018-02-07 03:17:00
1601|424||2018-02-07 07:50:00
1602|423||2018-02-07 08:08:00
1603|461||2018-02-07 08:33:00
1604|401||2018-02-07 08:42:00
1606|376||2018-02-07 09:48:00
1610|391||2018-02-08 02:06:00
1612|471||2018-02-08 02:43:00
1613|395||2018-02-08 02:51:00
1616|494||2018-02-08 04:04:00
1617|489||2018-02-08 04:41:00
1618|500||2018-02-08 05:24:00
1621|488||2018-02-08 07:19:00
1622|490||2018-02-08 07:19:00
1623|504||2018-02-08 07:26:00
1624|414||2018-02-08 07:46:00
1625|431||2018-02-08 07:54:00
1627|466||2018-02-08 09:19:00
1628|467||2018-02-08 09:31:00
1632|476||2018-02-10 03:39:00
1633|410||2018-02-10 04:47:00
1635|418||2018-02-10 07:05:00
1637|420||2018-02-10 08:27:00
1644|371||2018-02-12 02:54:00
1646|403||2018-02-12 04:55:00
1650|402||2018-02-12 06:07:00
1655|498||2018-02-12 06:27:00
1656|435||2018-02-12 06:28:00
1657|425||2018-02-12 08:19:00
1658|419||2018-02-12 11:32:00
1660|463||2018-02-13 03:29:00
1661|454||2018-02-13 03:53:00
1662|439||2018-02-13 07:13:00
1663|459||2018-02-13 07:29:00
1664|415||2018-02-13 08:15:00
1665|505||2018-02-13 09:03:00
1667|446||2018-02-15 06:40:00
1671|434||2018-02-16 08:04:00
1673|364||2018-02-16 08:25:00
1674|437||2018-02-16 08:36:00
1675|315||2018-02-16 09:25:00
1683|373||2018-02-18 08:02:00
1684|374||2018-02-18 08:26:00
1686|361||2018-02-19 06:55:00
1687|360||2018-02-19 07:22:00
1689|449||2018-02-20 02:45:00
1690|370||2018-02-20 07:00:00
1691|479||2018-02-20 07:41:00
1701|445||2018-02-25 10:09:00
1703|1532||2018-02-26 07:29:00
1706|426||2018-02-27 09:13:00
1710|368||2018-02-28 09:35:00
1711|480||2018-02-28 09:57:00
1714|473||2018-03-01 07:57:00
1715|284||2018-03-02 01:15:00
1717|496||2018-03-02 04:32:00
1719|1559||2018-03-02 07:07:00
1723|343||2018-03-02 09:50:00
1724|382||2018-03-02 10:55:00
1725|1552||2018-03-03 05:55:00
1726|1553||2018-03-03 07:54:00
2726|1564||2018-03-04 11:16:00
2728|1569||2018-03-05 02:34:00
2730|351||2018-03-05 06:59:00
2734|333||2018-03-05 09:16:00
2735|484||2018-03-05 09:48:00
2736|487||2018-03-06 02:03:00
2739|486||2018-03-06 02:44:00
2741|460||2018-03-06 02:51:00
2742|1579||2018-03-06 02:58:00
2743|1548||2018-03-06 04:56:00
2745|1556||2018-03-07 02:35:00
2749|350||2018-03-07 07:28:00
2750|1574||2018-03-07 07:31:00
2755|1565||2018-03-07 11:30:00
2756|1526||2018-03-07 11:58:00
2757|1529||2018-03-07 12:06:00
2758|1530||2018-03-07 12:23:00
2760|1557||2018-03-08 04:33:00
2762|1536||2018-03-08 06:12:00
2766|2632||2018-03-08 11:39:00
2770|1581||2018-03-09 04:18:00
2772|399||2018-03-09 05:18:00
2777|472||2018-03-09 09:36:00
2778|508||2018-03-09 10:12:00
2781|406||2018-03-11 07:24:00
2782|1528||2018-03-11 08:10:00
2787|1537||2018-03-12 07:41:00
2790|1534||2018-03-13 02:48:00
2792|2624||2018-03-13 03:18:00
2793|356||2018-03-13 03:32:00
2798|3663||2018-03-13 09:45:00
2799|337||2018-03-13 09:57:00
2800|1554||2018-03-13 10:24:00
2803|321||2018-03-13 13:21:00
2805|405||2018-03-13 13:40:00
2807|503||2018-03-13 13:48:00
2808|1523||2018-03-13 13:56:00
2809|1538||2018-03-13 14:01:00
2810|1539||2018-03-13 14:09:00
2812|438||2018-03-14 05:50:00
2813|213||2018-03-14 06:23:00
2814|77||2018-03-14 06:34:00
2815|468||2018-03-14 08:07:00
2816|1611||2018-03-14 08:50:00
2817|398||2018-03-14 09:05:00
2818|1590||2018-03-14 09:09:00
2819|475||2018-03-14 09:32:00
2820|516||2018-03-14 09:50:00
2822|3643||2018-03-14 09:54:00
2823|515||2018-03-14 10:16:00
2824|1547||2018-03-14 10:26:00
2825|3669||2018-03-14 10:44:00
2827|3670||2018-03-14 11:10:00
2829|1612||2018-03-14 11:12:00
2830|1570||2018-03-15 02:04:00
2832|308||2018-03-15 03:53:00
2833|2620||2018-03-15 06:00:00
2834|1566||2018-03-15 06:40:00
2835|2617||2018-03-15 06:41:00
2840|2627||2018-03-15 08:16:00
2843|474||2018-03-15 09:48:00
2844|1577||2018-03-15 11:42:00
2845|2618||2018-03-15 12:21:00
2849|1549||2018-03-16 04:01:00
2854|1533||2018-03-16 07:06:00
2856|507||2018-03-16 09:25:00
2857|2629||2018-03-16 09:29:00
2858|3649||2018-03-16 10:33:00
2859|1613||2018-03-16 11:10:00
2861|1615||2018-03-17 07:13:00
2862|2634||2018-03-17 07:57:00
2863|436||2018-03-17 08:22:00
2864|1521||2018-03-17 10:46:00
2865|1522||2018-03-17 10:58:00
2866|1543||2018-03-17 11:03:00
2867|1592||2018-03-17 11:58:00
2870|1567||2018-03-19 05:17:00
2872|1563||2018-03-19 08:58:00
2873|1571||2018-03-19 09:07:00
2874|1614||2018-03-19 09:15:00
2875|1573||2018-03-19 09:31:00
2876|320||2018-03-19 09:40:00
2877|1603||2018-03-20 05:52:00
2878|1604||2018-03-20 06:07:00
2880|1605||2018-03-20 07:31:00
2884|2625||2018-03-20 08:50:00
2885|2640||2018-03-20 09:11:00
2886|510||2018-03-20 09:38:00
2888|1598||2018-03-20 10:18:00
2889|1555||2018-03-20 10:34:00
2890|355||2018-03-20 11:06:00
2891|482||2018-03-20 11:47:00
2893|2631||2018-03-21 06:54:00
2898|483||2018-03-22 05:29:00
2899|1545||2018-03-22 06:34:00
2900|1546||2018-03-22 06:45:00
2901|1568||2018-03-22 06:53:00
2902|1572||2018-03-22 07:46:00
2906|453||2018-03-23 08:00:00
2907|452||2018-03-23 08:13:00
2908|2635||2018-03-23 09:11:00
2909|2636||2018-03-23 09:40:00
2910|3672||2018-03-23 14:30:00
2911|3673||2018-03-23 14:35:00
2915|2619||2018-03-25 05:49:00
2918|462||2018-03-26 03:24:00
2920|3691||2018-03-26 05:57:00
2921|506||2018-03-26 07:34:00
2922|1527||2018-03-26 07:39:00
2925|455||2018-03-26 08:25:00
2928|1578||2018-03-26 11:15:00
2929|3676||2018-03-26 11:27:00
2935|3702||2018-03-27 03:05:00
2937|3679||2018-03-27 03:55:00
2938|309||2018-03-27 05:34:00
2940|3680||2018-03-27 06:22:00
2941|313||2018-03-27 06:25:00
2944|3682||2018-03-27 08:28:00
2946|3664||2018-03-28 03:52:00
2948|3658||2018-03-28 05:18:00
2949|3687||2018-03-28 07:12:00
2950|3686||2018-03-28 07:32:00
2952|3733||2018-03-28 08:38:00
2953|1599||2018-03-28 09:34:00
2956|1575||2018-03-29 10:53:00
2963|1558||2018-03-31 09:49:00
2965|1594||2018-03-31 11:50:00
2966|3645||2018-04-02 02:14:00
2967|1593||2018-04-02 03:00:00
2968|3646||2018-04-02 03:08:00
2971|2622||2018-04-02 03:46:00
2972|416||2018-04-02 06:44:00
2973|3667||2018-04-02 06:51:00
2974|3644||2018-04-02 09:57:00
2975|3675||2018-04-02 10:33:00
2980|3715||2018-04-03 03:11:00
2988|3732||2018-04-04 03:28:00
2991|3688||2018-04-04 07:14:00
2992|3725||2018-04-04 07:49:00
2993|3709||2018-04-04 12:37:00
2995|3750||2018-04-04 13:12:00
2998|3758||2018-04-06 06:03:00
3001|3720||2018-04-08 10:12:00
3002|3749||2018-04-09 05:31:00
3003|3772||2018-04-09 07:06:00
3004|3756||2018-04-09 07:16:00
