121|2043|411|65|2337|Y|3||2017-10-20 06:30:00|||N|true
122|2045|195|64|2337|Y|6||2017-10-20 06:51:00|||N|true
123|2033|2|2|2337|Y|1||2017-10-20 06:51:00||122|N|true
124|2043|411|68|2337|Y|3||2017-10-27 02:14:00|||N|true
125|2045|195|66|2337|Y|6||2017-10-25 08:19:00|||N|true
126|2033|2|2|2337|Y|1||2017-10-25 08:19:00||125|N|true
127|2043|411|71|2337|N|3||2017-10-26 02:14:00|||N|true
128|2045|195|67|2337|Y|6||2017-10-31 00:30:00|||N|true
129|2033|2|2|2337|Y|1||2017-10-31 00:30:00||128|N|true
130|2043|411|72|2337|N|3||2017-10-26 02:58:00|||N|true
131|2045|195|68|2337|Y|6||2017-10-26 03:11:00|||N|true
132|2033|2|2|2337|Y|1||2017-10-26 03:11:00||131|N|true
133|2043|411|75|2337|Y|3||2017-10-26 04:23:00|||N|true
134|2045|195|69|2337|Y|6||2017-10-27 02:57:00|||N|true
135|2033|2|2|2337|Y|1||2017-10-27 02:57:00||134|N|true
136|2043|411|80|2337|Y|3||2017-10-30 06:49:00|||N|true
137|2045|195|70|2337|Y|6||2017-10-31 00:20:00|||N|true
138|2033|2|2|2337|Y|1||2017-10-31 00:20:00||137|N|true
139|2043|411|84|2337|N|3||2017-10-31 00:22:00|||N|true
140|2045|195|71|2338|Y|6||2017-10-31 00:25:00|||N|true
141|2043|411|85|2338|N|3||2017-10-31 00:26:00|||N|true
142|2045|195|72|2337|Y|6||2017-10-31 00:30:00|||N|true
143|2033|2|2|2337|Y|1||2017-10-31 00:30:00||142|N|true
144|2043|411|86|2337|Y|3||2017-11-23 07:39:00|||N|true
145|2045|195|73|2327|Y|6||2017-10-31 00:34:00|||N|true
146|2033|2|4|2327|Y|1||2017-10-31 00:34:00||145|N|true
147|2043|411|87|2327|N|3||2017-10-31 00:36:00|||N|true
148|2045|195|74|2327|Y|6||2017-10-31 00:40:00|||N|true
149|2033|2|4|2327|Y|1||2017-10-31 00:39:00||148|N|true
150|2043|411|89|2340|N|3||2017-10-31 00:44:00|||N|true
151|2045|195|75|2337|N|6||2017-10-31 05:07:00|||N|true
152|2033|2|2|2337|Y|1||2017-10-31 05:07:00||151|N|true
153|2049|14|76|2337|Y|5||2017-10-31 05:12:00|||N|true
154|2033|2|2|2337|Y|1||2017-10-31 05:12:00||153|N|true
155|2046|8|21|2337|Y|2||2017-10-31 05:16:00|||N|true
156|2045|201|77|2415|Y|5||2017-10-31 07:35:00|||N|
157|2033|2|77|2415|Y|1||2017-10-31 07:35:00||156|N|
158|2045|201|80|2442|Y|4||2017-11-06 11:14:00|||N|
159|2033|2|15|2442|Y|1||2017-11-01 09:24:00||158|N|
160|2045|201|82|2431|Y|2||2017-11-01 06:26:00|||N|
161|2033|2|11|2431|Y|1||2017-11-01 06:26:00||160|N|
162|2045|201|81|2436|Y|4||2017-11-06 11:14:00|||N|
163|2033|2|15|2436|Y|1||2017-11-01 09:24:00||162|N|
164|2045|201|84|2337|Y|2||2017-11-03 03:06:00|||N|true
165|2033|2|21|2337|Y|1||2017-11-03 03:06:00||164|N|true
166|2045|201|83|2431|N|5||2017-11-01 06:26:00|||N|
167|2033|2|11|2431|Y|1||2017-11-01 06:26:00||166|N|
168|2045|201|85|2444|Y|5||2017-11-01 07:09:00|||N|
169|2043|411|91|2444|Y|3||2017-12-28 10:33:00|||N|
170|2045|201|86|2439|Y|4||2017-11-06 11:14:00|||N|
171|2033|2|17|2439|Y|1||2017-11-01 09:24:00||170|N|
